date | value

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2009-01-02 | 1000
2022-03-29 | 0
2022-03-30 | 1
2022-03-28 | 2

2012-01-11 | +-1
2024-03-04 | 999
2012-12-12 | .1000
2012-12-12 | 1000.
98-12-12 | 1
0098-05-26 | 26
2009-01-01 | 1
2001-42-42 | 42

date | value
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 |     
2012-01-11
2012-01-11 | 2.ssss
2012-01-11 | www

2011-01-03 | 1.2f
2012-01-03 | 1.2ff
2008-01-13 | 2
2024-03-05 | 3
2012-01-13|
2012-01-11 |3
201 1-01-03 | 2
2001-1-01-03 | 2
2011-01-01|3
2011-01-02 |d
2011-01-01 |           3
blabla
